word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
cube,9,-2.488377014197887,54.26001826065186,516899.20579801814,338246.1,4,8,691446.43,340521.85,0.25
contain,9,-1.915752506742669,53.00638618986602,373896.15383121866,152934.41,6,6,433881.8,231414.84,0.58
pastie,9,-3.855427850035296,53.60315451447936,566903.3507659079,300552.95,11,7,566903.35,304631.43,0.11
thank,9,-2.6537139181183194,54.134398125585726,770423.435328687,193446.38,4,6,770423.44,275127.46,0.3
buy,9,-2.4975456586798215,54.65678713743902,495447.6747275238,354009.67,4,5,870196.89,372733.05,0.33
categori,8,-2.7166953447227242,53.5437371434921,467199.1103974123,339520.22,7,6,585061.69,337610.17,0.23
blue,8,-2.1196324156322244,53.85461234725721,517944.12529806653,349908.85,5,4,745188.45,354377.79,0.22
never,8,-3.01947478925621,53.61489061336739,451246.3339943283,325832.21,4,6,664420.51,304010.47,0.3
sparkling,8,-1.9687693105786588,52.64428327764115,645307.3412253446,271166.59,5,5,664160.69,362256.08,0.4
work,8,-2.5893243623092443,53.80353332372685,570335.8384337192,325586.78,5,4,714854.4,350182.22,0.22
vodka,8,-2.4887100523771344,54.235061298494635,568126.1102792121,338459.66,4,7,794813.42,396760.76,0.09
premium,8,-1.291851039294929,52.86386722176361,385225.4414382352,165703.42,5,6,399985.78,202321.19,0.55
bull,8,-2.922143882340535,55.67817355147383,385598.9622796296,194085.04,11,4,924276.77,296906.43,0.73
filling,8,-3.754821215990765,54.858658691848014,602249.0973727768,243527.14,7,5,742890.31,365141.77,0.0
bone,8,-2.1699911429901233,53.21394289898152,491844.91788577917,229043.11,6,8,537869.24,267447.11,0.43
created,8,-1.7196450966748715,53.826651479310726,250273.1006121944,213324.2,4,4,461397.79,212005.53,0.63
spinach,8,-2.2095618608755916,53.202352747965946,539059.3363269945,239754.86,5,5,636866.93,319969.16,0.3
too,8,-2.470564964058133,53.82981570873886,410830.38811326347,130037.93,5,4,724583.7,231034.34,0.67
serve,8,-2.650713797881105,52.25191695770408,459454.3493423798,306450.58,6,6,567947.99,318372.03,0.08
rich,8,-2.5626095809536236,54.570604683100846,314977.9288805305,282886.21,5,4,629002.91,289011.64,0.44
catch,8,-1.6615834326840544,53.51031399447306,537286.8600532225,308147.52,5,4,713394.67,325067.03,0.33
seasonal,8,-1.1004846439486888,52.0662425617966,361612.7354217878,304044.06,7,4,713118.78,332620.19,0.0
board,8,-1.4332994460418493,52.94451224824396,469385.33335287817,314449.76,6,4,642458.0,315787.13,0.1
carrot,8,-1.010088347161517,52.52266120072366,261298.79319729214,233634.3,6,4,560024.45,236816.83,0.5
